"id","name","period","category","confidence","note","evidence_source","page_or_figure_ref","verified_by","verified_date"
"eb-spring","Occupation traces beside the Gihon Spring","chalco","domestic","probable","Sherds, flint and thin occupation layers found in and around the spring house area. No building plans survive.","","","",""
"eb-slope","Early Bronze houses on the eastern slope","chalco","domestic","probable","Kenyon and later excavators found EB I–III sherds and fragmentary walls on the terraces above the spring.","","","",""
"eb-chalc","Chalcolithic material (redeposited)","chalco","domestic","debated","Chalcolithic finds come mostly from fills and rock pockets, so the size and permanence of any settlement is uncertain.","","","",""
"eb-secspring","Spring outlet in section","chalco","water","secure","The Gihon rises at about 636 m above sea level, low on the eastern flank of the ridge.","","","",""
"mb-springtower","Spring Tower","mb2","fort","secure","A tower of boulders up to 3 m across, walls c. 7 m thick, built directly over the spring. Excavated by Reich and Shukron. Traditionally dated to the Middle Bronze Age; radiocarbon evidence published in 2017 permits a late ninth-century BCE construction scenario, though the interpretation is contested — existence and scale are secure, the date is disputed.","","","",""
"mb-pool","Rock-cut fortified pool","mb2","water","secure","A large reservoir cut into bedrock and enclosed by walls, fed from the spring. Its full depth is still not known.","","","",""
"mb-pooltower","Pool Tower","mb2","fort","secure","The southern anchor of the Middle Bronze water fortress, protecting the pool.","","","",""
"mb-chan2","Channel II","mb2","water","secure","A rock-cut channel running south along the slope, feeding irrigation outlets in the Kidron valley floor.","","","",""
"mb-fort","Middle Bronze fortification line","mb2","fort","probable","Wall segments on the eastern crest are dated to MB II; the line between them is reconstructed.","","","",""
"mb-warren-up","Warren's Shaft system — upper tunnel","mb2","water","debated","The rock-cut passage is probably Middle Bronze; whether the vertical shaft was ever used to draw water is disputed.","","","",""
"lb-extent","Extent of the Jebusite town (reconstructed)","lb","extent","conjectural","About 4–5 hectares. Almost no Late Bronze buildings have been found, so the outline follows the fortification line, not walls of houses.","","","",""
"lb-acropolis","Acropolis / rulers' quarter (location proposed)","lb","monument","conjectural","The Amarna letters of Abdi-Heba imply a palace and a garrison, but no Late Bronze palace has been excavated.","","","",""
"lb-terraces","Stepped terraces beneath the Stepped Stone Structure","lb","fort","debated","Kenyon dated the earliest terracing to the Late Bronze Age; others place all of it in the Iron Age. The dating is unresolved.","","","",""
"lb-burials","Late Bronze burial finds, Kidron slope","lb","burial","probable","Imported Cypriot and Mycenaean pottery from tombs across the valley shows the town was connected to wider trade.","","","",""
"sss","Stepped Stone Structure","ir2a","fort","secure","A mantle of stone stepping down the slope, standing about 18 m high — the largest Iron Age structure known in Jerusalem. Its date is argued between the 12th and 9th centuries BC.","","","",""
"lss","Large Stone Structure","ir2a","monument","debated","Eilat Mazar identified these walls as King David's palace. Others read them as several separate walls of different dates, or as part of the same fortification as the Stepped Stone Structure.","","","",""
"ir2a-capital","Proto-Aeolic capital (find spot)","ir2a","find","secure","A carved capital of a type used in royal buildings, found fallen on the slope by Kenyon.","","","",""
"ir2a-wall","Eastern city wall (Iron IIA)","ir2a","fort","probable","Segments on the eastern crest; long stretches are reconstructed between excavated points.","","","",""
"ir2a-houses","Iron IIA buildings on the eastern terraces","ir2a","domestic","probable","Fragmentary walls and floors beneath the better-preserved 8th–7th century houses.","","","",""
"hez-tunnel","Hezekiah's Tunnel","ir2bc","water","secure","533 m of tunnel cut through the ridge from both ends at once, carrying the spring water to the pool at the southern tip.","","","",""
"siloam-insc","Siloam Inscription (find spot)","ir2bc","find","secure","Found in 1880 near the tunnel's southern exit; it describes the two digging teams meeting. Removed to Istanbul in 1891.","","","",""
"warren-shaft","Warren's Shaft","ir2bc","water","secure","A natural karstic shaft, about 13 m deep, met by chance by the rock-cut passage. Older books had Joab climbing it to take the city for David (2 Samuel 5:8); Reich and Shukron showed the passage was not originally designed as a bucket-drawing installation at the shaft, substantially weakening the tsinnor identification — the Jebusites more plausibly reached their water through the fortified Spring Tower and rock-cut pool instead.","","","",""
"ir-pool","Iron Age pool at the southern tip","ir2bc","water","probable","The tunnel's outlet fed a reservoir at the tip of the ridge, later replaced by the Herodian pool.","","","",""
"broad-wall","Broad Wall (western hill)","ir2bc","fort","secure","A 7 m thick wall found by Avigad in the Jewish Quarter, showing the city expanded west in the 8th century. It lies off this ridge, to the north-west.","","","",""
"ashlar-house","Ashlar House","ir2bc","domestic","secure","A building with dressed-stone corners — unusual quality for a private house.","","","",""
"ahiel","House of Ahiel","ir2bc","domestic","secure","A four-room house named from a sherd inscribed """"Ahiel""""; it had a stone toilet seat in a small side room.","","","",""
"burnt-room","Burnt Room","ir2bc","domestic","secure","Filled with charred wood, including imported furniture timber burnt in 586 BC.","","","",""
"bullae-house","Bullae House","ir2bc","domestic","secure","Fifty-one clay seal impressions were baked hard by the fire that destroyed it, preserving the names of Judahite officials.","","","",""
"lmlk","LMLK jar handles (find spots)","ir2bc","find","secure","Storage jars stamped """"belonging to the king"""", linked to Hezekiah's preparations against Assyria.","","","",""
"ir-terrace-houses","Terrace houses on the eastern slope","ir2bc","domestic","secure","Dense housing stepped down the slope on artificial terraces, the densest Iron Age quarter yet found here.","","","",""
"burn","Destruction layer, Area G","d586","destruction","secure","Up to a metre of ash, collapsed stone and smashed pottery sealing the Iron Age houses.","","","",""
"arrowheads","Arrowheads (Scythian and local types)","d586","find","secure","Bronze and iron arrowheads scattered in the burnt debris, widely associated with the Babylonian conquest of 587/586 BC — artifacts alone do not identify a specific attacker.","","","",""
"collapse","Collapse of the terrace system","d586","destruction","probable","Once the houses burned, the terraces they stood on slid down the slope, sealing everything beneath.","","","",""
"persian-settle","Contracted Persian-period settlement","pershas","extent","probable","A small community, perhaps a few hundred people, clustered on the upper ridge. Persian-period remains are thin and often eroded away.","","","",""
"neh-wall","Wall attributed to Nehemiah (proposed)","pershas","fort","debated","Eilat Mazar identified a wall on the crest as Nehemiah's. Critics argue the pottery beneath it is later, or that the wall is Iron Age reused.","","","",""
"akra","Seleucid Akra (proposed identification)","pershas","fort","debated","A massive glacis, tower and slingstones found in the Givati Parking Lot were published in 2015 as the Akra garrison fort. The identification is widely discussed and not settled.","","","",""
"has-fort","Hasmonean fortification and buildings","pershas","fort","probable","The First Wall of the Hasmonean period ran along the ridge crest and around the southern tip.","","","",""
"stamped-handles","Yehud and rhodian stamped handles","pershas","find","secure","Administrative stamps naming the province of Yehud, plus imported wine-jar handles, are the clearest Persian-Hellenistic evidence.","","","",""
"siloam-pool","Pool of Siloam (monumental, stepped)","herod","monument","secure","Uncovered by accident in 2004 during sewer work. Stepped on at least three sides, more than 60 m along one side, paved and plastered.","","","",""
"pilgrim-road","Monumental stepped street (commonly interpreted as a pilgrimage route)","herod","street","secure","A stepped street about 8 m wide, paved with large slabs. Excavated in sections over some 600 m from the pool towards the Temple Mount; existence and width are secure for excavated segments, and construction after AD 30/31 is secure for the excavated segments; the coins support construction during the governorship of Pontius Pilate. The continuous course drawn here includes reconstructed stretches, and its function as a pilgrimage route is an interpretation, not a measured fact.","","","",""
